(1944.000,822.000)
(548.000,1133.000)
(808.000,976.000)
(578.000,1262.000)
(1870.000,1087.000)
(1414.000,852.000)
(313.000,1259.000)
(361.000,1781.000)
(423.000,977.000)
(1014.000,1762.000)
(441.000,789.000)
(502.000,1452.000)
(883.000,479.000)
(296.000,93.000)
(1360.000,38.000)
(1686.000,1037.000)
(480.000,725.000)
(544.000,1815.000)
(1155.000,103.000)
(1206.000,766.000)
(20.000,1532.000)
(694.000,1154.000)
(1365.000,847.000)
(697.000,1595.000)
(1807.000,583.000)
(1604.000,407.000)
(763.000,1379.000)
(507.000,589.000)
(1732.000,759.000)
(427.000,1943.000)
(1281.000,338.000)
(1033.000,146.000)
(557.000,1218.000)
(221.000,1577.000)
(1549.000,346.000)
(112.000,292.000)
(177.000,166.000)
(1622.000,202.000)
(1277.000,148.000)
(27.000,1817.000)
(494.000,280.000)
(1228.000,821.000)
(821.000,658.000)
(962.000,1522.000)
(481.000,1212.000)
(163.000,763.000)
(974.000,167.000)
(27.000,163.000)
(1141.000,157.000)
(296.000,217.000)
(547.000,847.000)
(1038.000,664.000)
(224.000,1832.000)
(1740.000,1882.000)
(1083.000,1134.000)
(830.000,1379.000)
(837.000,769.000)
(1279.000,848.000)
(116.000,834.000)
(1898.000,158.000)
(951.000,1332.000)
(348.000,396.000)
(150.000,1388.000)
(1012.000,1595.000)
(550.000,39.000)
(771.000,32.000)
(766.000,1966.000)
(1074.000,273.000)
(755.000,1257.000)
(832.000,1152.000)
(1289.000,1952.000)
(1278.000,1162.000)
(1633.000,946.000)
(43.000,889.000)
(700.000,1381.000)
(31.000,1465.000)
(832.000,1260.000)
(1014.000,1269.000)
(1942.000,418.000)
(175.000,958.000)
(1869.000,280.000)
(1018.000,1393.000)
(906.000,272.000)
(831.000,1225.000)
(1892.000,1404.000)
(291.000,727.000)
(1607.000,1333.000)
(1149.000,463.000)
(88.000,217.000)
(643.000,1753.000)
(1816.000,1449.000)
(757.000,1581.000)
(1825.000,709.000)
(1627.000,1007.000)
(1614.000,904.000)
(1414.000,473.000)
(964.000,789.000)
(23.000,1343.000)
(304.000,589.000)
(498.000,1387.000)
(1631.000,533.000)
(1362.000,407.000)
(166.000,1088.000)
(696.000,472.000)
(306.000,1893.000)
(1343.000,1592.000)
(696.000,1202.000)
(633.000,721.000)
(1210.000,1641.000)
(1353.000,1825.000)
(489.000,636.000)
(1491.000,717.000)
(362.000,1574.000)
(116.000,17.000)
(1739.000,395.000)
(1633.000,1157.000)
(1228.000,1273.000)
(695.000,139.000)
(614.000,1194.000)
(365.000,1200.000)
(1610.000,1824.000)
(1350.000,346.000)
(896.000,905.000)
(1687.000,279.000)
(1283.000,1577.000)
(1219.000,84.000)
(1884.000,778.000)
(242.000,1693.000)
(1414.000,1343.000)
(881.000,528.000)
(745.000,1451.000)
(1288.000,291.000)
